20 15
O 1
O 3
O 5
O 7
O 9
O 11
O 13
I1 15
Z2 14
S1 13
L1 13
T2 14
T1 13
J4 10
L3 9
L3 9
O 1
O 3
O 5
O 7
I2 1
I2 3
I2 5
S1 1
T4 1
T2 2
L2 4
J1 7
I2 4
I1 11
I1 12
O 11
I2 4
L1 1
I1 9
I2 2
I2 5
T3 2
O 10
L2 12
S2 14
L4 6
S2 12
I1 9
T1 12
O 1
O 4
O 6
L4 9
T2 14
J3 8
T4 10
Z1 10
T1 12
I2 6
I2 3
S1 1
J2 7
T1 4
O 8
I1 1
T1 2
S2 14
I1 7
L3 12
J4 3
I1 6
T4 2
O 10
T2 12
T2 14
I2 8
O 4
T4 1
T4 3
O 7
O 9
O 11
T2 13
Z1 4
O 1
O 2
O 3
O 4
I2 5
I2 8
I2 2
I1 1
L2 7
J4 4
T3 12
L3 14
O 6
O 14
O 14
O 14
O 14
T4 14
T4 13
S1 11
L3 14
O 14
L2 11
I2 11
T1 9
O 6
O 5
I2 2
J4 13
L4 6
L2 1
I2 4
T1 11
T2 8
L1 14
O 5
End
